County,COUNTY_ID,Breeding Species: BBA2,Observed Species: BBA2,Effort Hours: BBA2,Breeding Species: BBA1,Observed Species: BBA1,Change in Breeding,Change in Observed
Adams,CTY-28,122,159,882.608,108,132,14,27
Ashland,CTY-69,145,176,1728.293,140,165,5,11
Barron,CTY-57,119,157,752.452,101,123,18,34
Bayfield,CTY-71,149,180,3294.001,148,166,1,14
Brown,CTY-39,129,173,2959.208,117,148,12,25
Buffalo,CTY-35,111,145,538.415,105,129,6,16
Burnett,CTY-66,137,176,1456.056,118,168,19,8
Calumet,CTY-30,100,139,705.915,89,121,11,18
Chippewa,CTY-50,115,152,848.938,113,145,2,7
Clark,CTY-45,116,148,1187.52,116,144,0,4
Columbia,CTY-18,139,174,1913.632,115,150,24,24
Crawford,CTY-12,107,130,687.572,109,122,-2,8
Dane,CTY-11,136,190,8830.675,125,152,11,38
Dodge,CTY-16,133,167,2451.572,112,131,21,36
Door,CTY-51,142,184,3178.636,141,174,1,10
Douglas,CTY-70,150,177,1811.414,149,173,1,4
Dunn,CTY-48,132,150,1568.702,119,138,13,12
Eau Claire,CTY-42,120,151,1438.238,121,139,-1,12
Florence,CTY-62,131,159,1306.068,109,148,22,11
Fond du Lac,CTY-21,126,174,1222.164,114,147,12,27
Forest,CTY-63,128,152,1370.114,128,159,0,-7
Grant,CTY-10,114,151,1516.975,108,132,6,19
Green,CTY-4,102,127,803.653,100,127,2,0
Green Lake,CTY-23,128,160,1325.528,122,149,6,11
Iowa,CTY-8,115,152,1597.781,104,138,11,14
Iron,CTY-68,128,155,1499.543,112,151,16,4
Jackson,CTY-33,133,152,869.397,133,152,0,0
Jefferson,CTY-6,122,161,1936.542,105,133,17,28
Juneau,CTY-27,123,159,916.997,117,148,6,11
Kenosha,CTY-0,90,136,587.401,88,118,2,18
Kewaunee,CTY-41,103,134,707.654,79,121,24,13
La Crosse,CTY-24,118,157,1338.276,111,132,7,25
Lafayette,CTY-1,89,118,424.175,94,121,-5,-3
Langlade,CTY-54,126,145,734.32,124,153,2,-8
Lincoln,CTY-55,116,144,533.629,118,146,-2,-2
Manitowoc,CTY-31,130,164,2451.186,127,156,3,8
Marathon,CTY-46,141,181,2096.355,127,160,14,21
Marinette,CTY-59,150,176,2454.777,130,164,20,12
Marquette,CTY-22,129,161,485.787,130,146,-1,15
Menominee,CTY-47,91,129,177.242,88,122,3,7
Milwaukee,CTY-9,126,177,6728.482,91,118,35,59
Monroe,CTY-25,115,151,901.773,128,144,-13,7
Oconto,CTY-53,137,169,1441.726,134,164,3,5
Oneida,CTY-60,131,161,2109.572,143,169,-12,-8
Outagamie,CTY-32,138,173,1817.011,112,137,26,36
Ozaukee,CTY-15,120,160,1956.837,120,142,0,18
Pepin,CTY-40,82,122,157.56,73,100,9,22
Pierce,CTY-43,90,128,871.826,104,136,-14,-8
Polk,CTY-58,130,164,1632.913,101,122,29,42
Portage,CTY-38,131,157,1155.827,129,147,2,10
Price,CTY-61,125,163,1446.161,126,152,-1,11
Racine,CTY-5,95,142,1089.997,84,112,11,30
Richland,CTY-13,101,122,653.303,97,123,4,-1
Rock,CTY-2,117,153,1219.495,80,115,37,38
Rusk,CTY-56,127,159,737.593,121,155,6,4
Sauk,CTY-49,130,168,1850.486,126,158,4,10
Sawyer,CTY-17,131,169,1242.912,146,166,-15,3
Shawano,CTY-64,134,157,821.099,135,175,-1,-18
Sheboygan,CTY-44,130,168,1335.008,118,146,12,22
Saint Croix,CTY-20,116,166,951.352,111,142,5,24
Taylor,CTY-52,115,155,688.322,112,150,3,5
Trempealeau,CTY-34,105,138,598.405,113,133,-8,5
Vernon,CTY-19,101,140,1445.693,94,131,7,9
Vilas,CTY-67,134,165,3018.178,146,166,-12,-1
Walworth,CTY-3,96,143,741.894,101,127,-5,16
Washburn,CTY-65,125,151,1190.086,94,138,31,13
Washington,CTY-14,99,135,827.1,111,130,-12,5
Waukesha,CTY-7,126,177,2590.011,122,143,4,34
Waupaca,CTY-37,123,174,1198.128,120,147,3,27
Waushara,CTY-26,116,150,952.744,123,131,-7,19
Winnebago,CTY-29,124,162,1201.987,146,160,-22,2
Wood,CTY-36,120,155,583.804,111,145,9,10
